['describe history oil industry', 'economic well decades that important world oil history industry']
['describe efforts made usaid protect biodiversity galapagos islands ecuador', 'indigenous island rainforest environmental fauna habitats habitat ecosystems wildlife ecological endangered islands conservation biodiversity']
['naming rights sports stadiums acquired', 'football sport acquired sporting naming stadium ownership rights stadiums sports']
['known culture history chaco people features chaco culture national historic park', 'where world tradition society traditions cultures country diversity national community historical historic heritage history culture cultural']
['imported fire ants controlled', 'controlling bees fires insects imported control ants fire controlled']
['describe work home scams promoted internet', 'there even they way many home ways how well work internet']
['give history battle big horn june 25 26 1876 referred custers stand', 'up before end once he same still going it even when would but that they one there']
['current role civil air patrol training participants receive', 'appropriate given ongoing responsibility participation conduct necessary military force involved continuing personnel training']
['describe deployment national guard units iraq', 'personnel army soldiers security troops national deployed force forces deployment military']
['relationship seminole indians florida', 'jacksonville ohio alabama arizona carolina oklahoma indians seminole florida']
['information kinds material international support provided side spanish civil war', 'some there providing important necessary information possible that various particular such provide well any other']
['locate past present model railroad layouts', 'several many able one that way particular there different present where']
['describe security measures dulles international airport virginia', 'enforcement agencies airline virginia policy washington national airports transportation security international airport']
['global positioning system gps research monitoring earthquakes', 'management monitor research mapping technology positioning data tracking global system systems monitoring']
['bostons central artery project known big dig characterized pork', 'some which often rather big significant small large one well particularly especially that central']
['level wages paid illegal immigrants', 'taxes income workers paying paid pay illegal immigrants wage wages']
['information pre 1500 history eskimo inuit people', 'information canadian facts eskimo canada peoples americans america people inuit american history']
['humans responded respond appearance coyotes urban suburban areas', 'neighborhoods people respond residents concerned particularly especially communities humans they suburban urban areas']
['information camels north america prehistoric modern times', 'southern east there places west northern north south history prehistoric western ancient']
['pol pot did', 'would never put maybe pots did pol pot']
['describe evidence heredity play role obesity', 'consequences genetic fact importance influence suggests explain obesity evidence factors role']
['role portugal world war ii', 'nations ii conflict europe country united america wars world war']
['scalable vector graphics', 'bitmap optimized vectors graphical graphic scalable graphics vector']
['frequently mississippi river flood banks', 'valley lake creek bank flooded flooding banks rivers flood river']
